EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0200.065.765,6,2008,84130,MAIN
0200.065.765,1,2008,41101,MAIN
0200.065.765,1,2003,70111,MAIN
0200.068.636,6,2008,36000,MAIN
0200.068.636,1,2008,36000,MAIN
0200.068.636,1,2008,93110,SECO
0200.068.636,1,2008,93126,SECO
0200.068.636,1,2008,93299,SECO
0200.068.636,1,2003,41000,MAIN
0200.305.493,6,2008,84130,MAIN
0200.305.493,1,2008,94999,MAIN
0200.305.493,1,2008,41102,SECO
0200.305.493,1,2008,41203,SECO
0200.305.493,1,2008,71122,SECO
0200.305.493,1,2008,82990,SECO
0200.305.493,1,2003,45211,MAIN
0200.305.493,1,2003,45213,SECO
0200.305.493,1,2003,70111,SECO
0200.305.493,1,2003,90021,SECO
0200.362.210,6,2008,37000,MAIN
0200.362.210,1,2008,37000,MAIN
0200.362.210,1,2003,90010,MAIN
0200.362.408,6,2008,88911,MAIN
0200.762.878,6,2008,88101,MAIN
0200.762.878,1,2008,88995,MAIN
0200.762.878,1,2003,85322,MAIN
0200.881.951,6,2008,84120,MAIN
0200.881.951,1,2008,84119,MAIN
0200.881.951,1,2008,37000,SECO
0200.881.951,1,2008,41101,SECO
0200.881.951,1,2003,75116,MAIN
0200.881.951,1,2003,70111,SECO
0200.881.951,1,2003,90010,SECO
0201.105.843,6,2008,84130,MAIN
0201.105.843,1,2008,73200,MAIN
0201.105.843,1,2008,42911,SECO
0201.105.843,1,2003,74131,MAIN
0201.105.843,1,2003,45241,SECO
0201.107.526,6,2008,2100,MAIN
0201.107.526,1,2008,2400,MAIN
0201.107.526,1,2003,2020,MAIN
0201.107.922,6,2008,88911,MAIN
0201.107.922,1,2008,88911,MAIN
0201.107.922,1,2008,88995,SECO
0201.107.922,1,2003,85322,MAIN
0201.107.922,1,2003,45211,SECO
0201.310.731,6,2008,84130,MAIN
0201.310.929,6,2008,87202,MAIN
0201.310.929,1,2008,87202,MAIN
0201.310.929,1,2008,87201,SECO
0201.310.929,1,2008,87303,SECO
0201.310.929,1,2008,87304,SECO
0201.310.929,1,2008,88103,SECO
0201.310.929,1,2008,88104,SECO
0201.310.929,1,2008,88991,SECO
0201.310.929,1,2008,88992,SECO
0201.310.929,1,2003,85311,MAIN
0201.311.226,6,2008,35130,MAIN
0201.311.226,1,2008,35130,MAIN
0201.311.226,1,2008,35110,SECO
0201.311.226,1,2008,35220,SECO
0201.311.226,1,2008,37000,SECO
0201.311.226,1,2008,61200,SECO
0201.311.226,1,2003,40110,MAIN
0201.400.011,1,2008,41101,MAIN
0201.400.011,1,2008,41201,SECO
0201.400.011,1,2008,43390,SECO
0201.400.011,1,2008,64200,SECO
0201.400.011,1,2003,70111,MAIN
0201.400.011,1,2003,45211,SECO
0201.400.011,1,2003,45450,SECO
0201.400.110,6,2008,36000,MAIN
0201.400.110,1,2008,36000,MAIN
0201.400.110,1,2003,41000,MAIN
0201.400.209,6,2008,38110,MAIN
0201.400.209,1,2008,38110,MAIN
0201.400.209,1,2008,38211,SECO
0201.400.209,1,2003,70113,MAIN
0201.543.234,6,2008,38110,MAIN
0201.543.234,1,2008,38219,MAIN
0201.543.234,1,2003,90021,MAIN
0201.645.281,1,2008,64200,MAIN
0201.645.281,1,2008,88999,SECO
0201.645.281,1,2003,74879,MAIN
0201.712.587,6,2008,35130,MAIN
0201.712.587,1,2008,35130,MAIN
0201.712.587,1,2003,40220,MAIN
0201.712.587,1,2003,64200,SECO
0201.717.438,1,2008,94110,MAIN
0201.717.438,1,2003,91110,MAIN
0201.741.786,6,2008,84130,MAIN
0201.741.786,1,2008,71121,MAIN
0201.741.786,1,2003,74203,MAIN
0201.808.401,6,2008,94993,MAIN
0201.978.150,6,2008,46610,MAIN
0202.239.951,6,2008,61100,MAIN
0202.239.951,1,2008,61200,MAIN
0202.239.951,1,2008,26300,SECO
0202.239.951,1,2003,64200,MAIN
0202.239.951,1,2003,32202,SECO
0202.239.951,6,2003,64200,MAIN
0202.268.754,6,2008,64922,MAIN
0202.268.754,6,2003,67130,MAIN
0202.395.052,6,2008,36000,MAIN
0202.395.052,1,2008,36000,MAIN
0202.395.052,1,2003,41000,MAIN
